sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
293,638.2,1.169,0.0917,0.6856,55.25,7.77817,342.8,55.0836
294,515.8,1.388,0.1331,0.3008,0,0,516,0
295,537.4,1.466,0.1991,0.5776,0.725,1.0253,535.575,3.42947
296,901,1.67,0.0944,0.692,39.6,11.8794,526.275,58.7959
297,114.4,1.808,0.1643,0.5288,0,0,199.625,6.11647
298,591.4,1.835,0.1052,0.624,50.3,9.47523,354.7,18.3848
299,503.2,0.5,0.1106,0.3776,77.05,3.74767,317.35,2.19203
300,877.6,1.547,0.1988,0.6312,19.45,13.3643,730.525,97.9696
301,634.6,1.841,0.0971,0.604,46.65,14.1421,364.1,84.1457
302,904.6,0.848,0.0572,0.3704,90,0.989949,244.875,39.9162
303,573.4,1.61,0.1553,0.3968,0,0,574,0
304,215.2,1.685,0.0932,0.516,0,0,210.6,7.63675
305,112.6,1.736,0.0503,0.4784,0,0,112.975,0.0353553
306,168.4,1.712,0.128,0.6232,0,0,169,0
307,875.8,0.83,0.1841,0.472,48.775,3.6416,597.5,49.6389
308,413.2,1.184,0.1679,0.392,0,0,414,0
309,938.8,1.445,0.1913,0.4088,11.225,3.42947,848.4,13.6472
310,157.6,1.265,0.104,0.4144,0,0,164.6,1.76777
311,440.2,1.544,0.197,0.6648,0,0,441,0
312,451,1.982,0.1505,0.5056,0.55,0.777817,438.3,13.93
313,206.2,1.499,0.0674,0.6824,19.275,8.59135,169.425,21.5314
314,294.4,0.695,0.1778,0.3352,0,0,317.075,9.72272
315,742.6,1.625,0.1163,0.316,20.05,8.41457,638.625,45.9973
316,123.4,1.679,0.1925,0.5344,0,0,244.5,7.9196
317,863.2,1.703,0.1493,0.5456,32,6.43467,631.95,41.79
318,200.8,1.913,0.1874,0.544,0,0,236.55,3.39411
319,127,0.995,0.1604,0.3912,0,0,264.35,10.1116
320,361,1.898,0.0875,0.4528,9.625,3.78302,323.95,26.0215
321,661.6,0.545,0.1565,0.4112,67.95,7.14178,455.975,7.45998
322,866.8,1.472,0.1295,0.3616,26.575,3.07591,687.8,20.7889
323,668.8,1.493,0.0569,0.372,68.4,4.80833,255.175,66.5034
324,632.8,1.016,0.1199,0.6528,28.825,10.2884,453.45,35.8503
325,929.8,0.74,0.1064,0.4488,72.025,10.3591,438.55,52.7502
326,910,1.859,0.1301,0.5616,48.475,13.6118,530.275,42.1789
327,974.8,1.322,0.1379,0.4048,38.525,1.37886,685.25,34.7897
328,969.4,0.653,0.1316,0.4992,104.275,18.6323,369.4,51.336
329,334,1.655,0.1241,0.6776,0.725,1.0253,332.45,2.19203
330,541,0.536,0.1706,0.3328,0,0,541,0
331,337.6,0.746,0.158,0.6696,2.375,3.35876,334.875,4.41942
332,600.4,1.613,0.1883,0.676,6.175,2.72236,560.4,36.6988
333,346.6,1.577,0.131,0.4616,0,0,347,0
334,832.6,1.379,0.1682,0.64,36.15,10.9602,558.175,19.8343
335,508.6,1.346,0.1718,0.3696,0,0,509,0
336,991,0.794,0.1349,0.3744,64.55,7.56604,531.225,63.8164
337,544.6,1.292,0.1547,0.512,2.4,3.39411,533.1,16.617
338,155.8,0.635,0.1967,0.648,0,0,162.2,2.12132
339,994.6,0.929,0.1184,0.6216,81.125,13.329,400.6,101.116
340,951.4,0.854,0.122,0.5408,70.35,0.353553,416.05,33.729
341,211.6,1.988,0.1559,0.3448,0,0,280.925,3.78302
342,362.8,1.433,0.0959,0.572,19.2,6.57609,308.175,18.4908
343,838,0.884,0.1898,0.3432,2.425,1.59099,821.55,10.8894
344,479.8,1.367,0.1694,0.3512,0,0,468,16.9706
345,227.8,0.638,0.1562,0.5728,0,0,228,0
346,175.6,1.28,0.1256,0.588,0,0,176,0
347,263.8,1.046,0.1709,0.3296,0,0,303.25,3.3234
348,139.6,1.031,0.089,0.6912,0,0,140,0
349,917.2,0.968,0.1388,0.6048,49.525,1.6617,565.35,44.6891
350,670.6,1.196,0.1115,0.5688,46.725,6.61145,364.125,19.9051
351,170.2,0.776,0.0512,0.5536,28,7.14178,134.025,8.73277
352,796.6,1.481,0.0902,0.5088,55.225,3.57089,381.9,3.46482
353,674.2,0.758,0.1676,0.4,9.3,2.26274,633.075,6.32861
354,400.6,0.716,0.1166,0.3024,0,0,401,0
355,472.6,0.743,0.1013,0.3984,37.225,0.883883,356.225,2.72236
356,622,0.923,0.1787,0.4152,0.425,0.601041,620.15,2.6163
357,182.8,1.337,0.1193,0.3504,0,0,202.325,2.01525
358,454.6,0.713,0.1322,0.5,21.925,4.9851,384.65,12.5158
359,593.2,0.596,0.0641,0.5144,93.55,0.494975,203,40.093
360,708.4,1.838,0.1871,0.6576,14.05,11.1723,628.775,32.4916
361,618.4,0.851,0.0812,0.6192,77,8.41457,247.1,28.7792
362,584.2,1.049,0.1574,0.3112,0,0,585,0
363,955,1.946,0.185,0.488,24.45,4.03051,736.9,1.48492
364,494.2,1.688,0.0782,0.456,47.475,9.43988,298.925,4.20729
365,343,1.325,0.074,0.4768,24.5,8.41457,281.55,24.8902
366,568,0.953,0.1889,0.6408,8.425,1.37886,517.65,24.678
367,577,1.271,0.1712,0.5672,5.2,0,549.75,12.2329
368,380.8,1.22,0.1838,0.4664,0,0,371.475,13.4704
369,330.4,1.727,0.17,0.5816,0,0,331,0
370,973,1.985,0.1892,0.5296,21.225,3.99515,780.625,32.138
371,897.4,1.412,0.0611,0.5192,77,2.12132,237.9,10.8187
372,850.6,0.581,0.1979,0.4944,87.175,2.79307,477.125,28.5318
373,199,1.607,0.0791,0.4312,0,0,199,0
374,928,0.881,0.1673,0.4008,29.3,13.0815,722.275,39.7748
375,649,0.974,0.0545,0.5104,56.725,9.72272,252.45,42.1436
376,166.6,1.958,0.0869,0.336,0,0,167.425,2.43952
377,485.2,1.406,0.1877,0.6376,0.925,0.813173,481.85,2.26274
378,735.4,0.767,0.1229,0.3368,53.125,1.73241,477.95,16.122
379,926.2,1.142,0.188,0.5248,27.85,1.55563,719.225,7.95495
380,827.2,0.857,0.0926,0.4696,68.65,5.58614,369.55,46.5276
381,740.8,1.259,0.1868,0.3904,0.15,0.212132,739.4,2.26274
382,253,1.103,0.1367,0.308,0,0,275.2,0.141421
383,220.6,0.689,0.0704,0.6816,40.45,12.3744,155.475,12.0562
384,722.8,1.019,0.179,0.5808,11.475,2.2981,646.875,15.3796
385,249.4,1.394,0.1766,0.364,0,0,308.325,2.65165
386,586,0.704,0.143,0.4184,23.15,1.48492,499.75,6.22254
387,481.6,0.797,0.0587,0.4576,77.95,1.20208,175.85,0
388,946,1.328,0.1541,0.3192,11.95,2.26274,860.725,28.7439
389,913.6,1.427,0.1421,0.5704,45.525,6.18718,549.85,17.2534
390,843.4,0.965,0.1595,0.4128,21.55,1.62635,714.375,3.21734
391,101.8,1.46,0.191,0.5912,0,0,204.85,17.9605
392,706.6,0.932,0.0764,0.6664,57.625,0.742462,268.525,21.4607
